cell_id,lat_deg,lon_w_deg,hemisphere,e_min_mev,e_max_mev,is_valid,n_assigned_bins
0,87,6,leading,101,100,0,0
1,87,18,leading,101,100,0,0
2,87,30,leading,101,100,0,0
3,87,42,leading,101,100,0,0
4,87,54,leading,101,100,0,0
5,87,66,leading,101,100,0,0
6,87,78,leading,101,100,0,0
7,87,90,leading,101,100,0,0
8,87,102,leading,101,100,0,0
9,87,114,leading,101,100,0,0
10,87,126,leading,101,100,0,0
11,87,138,leading,101,100,0,0
12,87,150,leading,101,100,0,0
13,87,162,leading,101,100,0,0
14,87,174,leading,101,100,0,0
15,87,186,trailing,0,0,0,0
16,87,198,trailing,0,0,0,0
17,87,210,trailing,0,0,0,0
18,87,222,trailing,0,0,0,0
19,87,234,trailing,0,0,0,0
20,87,246,trailing,0,0,0,0
21,87,258,trailing,0,0,0,0
22,87,270,trailing,0,0,0,0
23,87,282,trailing,0,0,0,0
24,87,294,trailing,0,0,0,0
25,87,306,trailing,0,0,0,0
26,87,318,trailing,0,0,0,0
27,87,330,trailing,0,0,0,0
28,87,342,trailing,0,0,0,0
29,87,354,trailing,0,0,0,0
30,81,6,leading,101,100,0,0
31,81,18,leading,101,100,0,0
32,81,30,leading,101,100,0,0
33,81,42,leading,101,100,0,0
34,81,54,leading,101,100,0,0
35,81,66,leading,101,100,0,0
36,81,78,leading,101,100,0,0
37,81,90,leading,101,100,0,0
38,81,102,leading,101,100,0,0
39,81,114,leading,101,100,0,0
40,81,126,leading,101,100,0,0
41,81,138,leading,101,100,0,0
42,81,150,leading,101,100,0,0
43,81,162,leading,101,100,0,0
44,81,174,leading,101,100,0,0
45,81,186,trailing,0,0,0,0
46,81,198,trailing,0,0,0,0
47,81,210,trailing,0,0,0,0
48,81,222,trailing,0.00349801846,0.00454165891,1,0
49,81,234,trailing,0.00335988614,0.00477777309,1,0
50,81,246,trailing,0.00316860331,0.0102330478,1,3
51,81,258,trailing,0.00290113671,0.0104233904,1,4
52,81,270,trailing,0.00475581026,0.0105198853,1,5
53,81,282,trailing,0.00290113671,0.0104233904,1,4
54,81,294,trailing,0.00316860331,0.0102330478,1,3
55,81,306,trailing,0.00335988614,0.00477777309,1,0
56,81,318,trailing,0.00349801846,0.00454165891,1,0
57,81,330,trailing,0,0,0,0
58,81,342,trailing,0,0,0,0
59,81,354,trailing,0,0,0,0
60,75,6,leading,101,100,0,0
61,75,18,leading,101,100,0,0
62,75,30,leading,101,100,0,0
63,75,42,leading,101,100,0,0
64,75,54,leading,101,100,0,0
65,75,66,leading,101,100,0,0
66,75,78,leading,101,100,0,0
67,75,90,leading,101,100,0,0
68,75,102,leading,101,100,0,0
69,75,114,leading,101,100,0,0
70,75,126,leading,101,100,0,0
71,75,138,leading,101,100,0,0
72,75,150,leading,101,100,0,0
73,75,162,leading,101,100,0,0
74,75,174,leading,101,100,0,0
75,75,186,trailing,0,0,0,0
76,75,198,trailing,0.00375,0.00378471576,1,0
77,75,210,trailing,0.00386038415,0.0104715267,1,5
78,75,222,trailing,0.00394858383,0.0114823298,1,13
79,75,234,trailing,0.00391697528,0.0123607842,1,19
80,75,246,trailing,0.00378006392,0.0130634543,1,24
81,75,258,trailing,0.00352535997,0.0135539548,1,27
82,75,270,trailing,0.00575252869,0.0137426041,1,28
83,75,282,trailing,0.00352535997,0.0135539548,1,27
84,75,294,trailing,0.00378006392,0.0130634543,1,24
85,75,306,trailing,0.00391697528,0.0123607842,1,19
86,75,318,trailing,0.00394858383,0.0114823298,1,13
87,75,330,trailing,0.00386038415,0.0104715267,1,5
88,75,342,trailing,0.00375,0.00378471576,1,0
89,75,354,trailing,0,0,0,0
90,69,6,leading,101,100,0,0
91,69,18,leading,101,100,0,0
92,69,30,leading,101,100,0,0
93,69,42,leading,101,100,0,0
94,69,54,leading,101,100,0,0
95,69,66,leading,101,100,0,0
96,69,78,leading,101,100,0,0
97,69,90,leading,100.616667,100,0,0
98,69,102,leading,101,100,0,0
99,69,114,leading,101,100,0,0
100,69,126,leading,101,100,0,0
101,69,138,leading,101,100,0,0
102,69,150,leading,101,100,0,0
103,69,162,leading,101,100,0,0
104,69,174,leading,101,100,0,0
105,69,186,trailing,0,0,0,0
106,69,198,trailing,0.00396140377,0.010814763,1,7
107,69,210,trailing,0.0043098323,0.0125328264,1,20
108,69,222,trailing,0.00457382154,0.0143244527,1,32
109,69,234,trailing,0.00470756892,0.0159257924,1,41
110,69,246,trailing,0.00467036693,0.0173029064,1,48
111,69,258,trailing,0.00441629758,0.0182024591,1,53
112,69,270,trailing,0.00714022099,0.018541039,1,54
113,69,282,trailing,0.00441629758,0.0182024591,1,53
114,69,294,trailing,0.00467036693,0.0173029064,1,48
115,69,306,trailing,0.00470756892,0.0159257924,1,41
116,69,318,trailing,0.00457382154,0.0143244527,1,32
117,69,330,trailing,0.0043098323,0.0125328264,1,20
118,69,342,trailing,0.00396140377,0.010814763,1,7
119,69,354,trailing,0,0,0,0
120,63,6,leading,101,100,0,0
121,63,18,leading,101,100,0,0
122,63,30,leading,101,100,0,0
123,63,42,leading,100.608317,100,0,0
124,63,54,leading,96.9581383,100,1,3
